iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854713384	1	waiting_05	M192,156c0,-2.08591 -10.85833,0 -23,0c-10.9162,0 -84.81639,6.18361 -90,1	1	0	0	0	1578854713119	1578854713356	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854713842	1	waiting_05	M116,96c9.69906,0 20.55327,-1.09927 30,1c9.71619,2.15915 81.49799,35.99598 86,45	2	0	0	0	1578854713612	1578854713816	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854714694	1	waiting_05	M192,75c-18.44185,55.32556 -77.98918,116.98918 -119,158	3	0	0	0	1578854714452	1578854714682	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854723637	2	waiting_02	M175,58c0,2.39839 -22.16673,15.42312 -23,16c-12.56471,8.69865 -97,70.58451 -97,84	1	0	3	0.73	1578854723215	1578854723620	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854724257	2	waiting_02	M123,127c9.72397,5.83438 21.48475,5.55124 32,10c23.73146,10.04023 38.21329,35 65,35	2	0	3	0.73	1578854723980	1578854724220	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854725036	2	waiting_02	M224,85c0,27.69707 1,55.27585 1,83	3	0	3	0.73	1578854724713	1578854725025	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854725892	2	waiting_02	M214,193c-53,0 -106,0 -159,0	4	0	3	0.73	1578854725585	1578854725874	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854737725	3	dining_01	M175,98c1.46518,-1.46518 -25.31369,15.07525 -27,16c-21.87756,11.99737 -58.98073,31 -85,31	1	0	6	1.33	1578854737447	1578854737712	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854738569	3	dining_01	M230,86c0,44.76213 -1,89.44867 -1,134	2	0	6	1.33	1578854738245	1578854738557	stroke
testing	1223-e0d52861-cb8d-4f16-bb0c-e1cabc005011	1578854739038	3	dining_01	M189,192c-42.47168,-8.49434 -102.0058,-1 -147,-1	3	0	6	1.33	1578854738827	1578854739016	stroke
