iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968744899	1	owls_2	M166,78c0,-2.79045 4.70534,-18.29466 5,-18c1.88279,1.88279 -1.26313,8.47374 0,11c0.20054,0.40107 7.55363,-11.89273 8,-11c4.99166,9.98333 20.6167,30.3833 8,43c-2.55834,2.55834 -17.72887,-16.27113 -14,-20c1.12541,-1.12541 7.76073,0.24785 9,0c3.52074,-0.70415 9.21668,-5 12,-5	1	0	0	0	1583968741720	1583968743076	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968746905	1	owls_2	M229,55c0,-8.31667 -1,-16.52263 -1,-25c0,-0.33333 0,-1.33333 0,-1c0,2.24076 4.36794,13.63206 8,10c1.28803,-1.28803 7,-15 7,-15c0,0 0.55279,3.36022 1,5c3.30649,12.12378 7.93264,23.73054 11,36c0.16169,0.64676 0,2 0,2c0,0 -1.26669,-2.63334 -2,-3c-2.27058,-1.13529 -7,5.53859 -7,3c0,-4.17885 -1.89516,-6.31653 -4,-10c-0.49923,-0.87365 -4,-6.78427 -4,-4	2	0	0	0	1583968743822	1583968745121	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968756419	2	owls_3	M95,57c0,17.63758 38.28062,33.16008 53,35c0.4355,0.05444 7,-0.52552 7,2c0,2.74874 -5.54145,-0.77073 -8,-2c-21.04743,-10.52372 -38.12001,-24.46286 -61,-31c-1.15561,-0.33017 -2.15016,-2.84984 -3,-2c-3.53319,3.53319 8.21955,26 14,26	1	0	3	0.67	1583968753493	1583968754639	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968758443	2	owls_3	M90,253c0,-9.74482 -22.15289,-57.84711 -15,-65c0.34243,-0.34243 2.83165,8.70539 3,9c2.10236,3.67914 16.63963,26 21,26c2.18001,0 -2.97676,-10.95353 -3,-11c-3.59708,-7.19416 -3,-17.05447 -3,-25c0,-0.33333 0,-1.33333 0,-1c0,15.0098 13.10866,26.16299 21,38c1.18394,1.77591 5.50923,3.49077 4,5c-8.79294,8.79294 -18.41374,16.55165 -27,28c-2.22794,2.97059 -7.91107,10.23993 -10,14c-0.58367,1.05061 -2,4.20185 -2,3	2	0	3	0.67	1583968755258	1583968756664	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968759594	2	owls_3	M162,110c-9,0 -18,0 -27,0	3	0	3	0.67	1583968757489	1583968757827	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968773146	3	bears_8	M76,240c-8.114,0 -32.2212,-3.30967 -22,11c2.7062,3.78868 7.01601,8.288 12,9c7.84181,1.12026 8.24289,-9 12,-9c1.62782,0 1,15.82348 1,18c0,1.33333 0,5.33333 0,4c0,-8.00291 2.40376,-9.2884 9,-14c0.72682,-0.51916 7.89254,-6.21491 9,-4c1.72234,3.44469 2.45489,3.75814 5,8c0.14324,0.23873 3.86265,6.54939 4,6c0.64866,-2.59463 -1.08752,-28.08752 9,-18c2.66667,2.66667 10.66667,-10.66667 8,-8c-10.26379,10.26379 -29.29172,-3.64586 -38,-8c-3.49488,-1.74744 -4.21306,2 -7,2	1	0	6	1.24	1583968769518	1583968771372	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968774116	3	bears_8	M178,214c12.05756,0 23.94428,-1 36,-1	2	0	6	1.24	1583968772133	1583968772350	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968774712	3	bears_8	M243,210c1.48595,0 26,1.06105 26,-1	3	0	6	1.24	1583968772623	1583968772944	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968775706	3	bears_8	M243,146c-8.44702,-3.37881 -23.45464,-12 -32,-12	4	0	6	1.24	1583968773658	1583968773939	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968776161	3	bears_8	M228,111c-12,0 -24,0 -36,0	5	0	6	1.24	1583968774196	1583968774395	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968776989	3	bears_8	M214,48c-24,0 -48,0 -72,0	6	0	6	1.24	1583968774997	1583968775223	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968777661	3	bears_8	M77,40c-18,0 -36,0 -54,0	7	0	6	1.24	1583968775708	1583968775896	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968778314	3	bears_8	M108,105c-12.05298,0 -24.10776,1 -36,1	8	0	6	1.24	1583968776373	1583968776548	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968789765	4	bears_1	M81,115c0,-1.06244 -35.92633,-2.92633 -20,13c1.51841,1.51841 4.01265,4.33755 6,5c8.86813,2.95604 18.89112,-25.47278 29,-28c6.45215,-1.61304 1.94645,24 6,24c0.74536,0 1.47295,-0.47295 2,-1c1.88415,-1.88415 26.67158,-34.75279 33,-23c15.05186,27.95345 14.60922,66.23382 23,97c5.43378,19.92385 20.91168,-15.30485 26,-22c5.81692,-7.65384 12.73093,-15.84661 16,-25c24.57737,-68.81662 -82.80895,-56.87642 -120,-42	1	0	9	1.74	1583968786757	1583968787983	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968801950	5	owls_5	M46,80c0,-10.30731 1.31729,-16.63458 6,-26c1.07497,-2.14994 2.30033,-7.69967 4,-6c0.25448,0.25448 3.89714,21.10286 4,21c3.59603,-3.59603 2.52678,-14.84374 4,-20c0.08217,-0.2876 2.5599,-8.16014 4,-6c2.1424,3.21359 0.02705,4.10819 1,8c6.46029,25.84117 16.76452,50.82258 22,77c0.65698,3.2849 3.99629,8.50185 1,10c-2.12891,1.06446 -21.21626,-16.21626 -23,-18c-11.59095,-11.59095 -27.08923,-26.63385 -36,-40c-1.62496,-2.43744 21,-28.70009 21,-13	1	0	12	2.44	1583968798993	1583968800180	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968805653	5	owls_5	M140,83c0,16.66667 0,33.33333 0,50	2	0	12	2.44	1583968803710	1583968803889	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968806522	5	owls_5	M181,96c0,19.66667 0,39.33333 0,59	3	0	12	2.44	1583968804540	1583968804757	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968807130	5	owls_5	M213,123c1.93333,0 1,2.4902 1,4c0,19.90779 4,40.45417 4,60	4	0	12	2.44	1583968805125	1583968805364	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968807865	5	owls_5	M250,193c0,23.33333 0,46.66667 0,70	5	0	12	2.44	1583968805870	1583968806101	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968820209	6	bears_6	M85,104c-6.52097,0 -21.07134,-2.96433 -27,0c-0.81804,0.40902 0,6.22681 0,8c0,6.17192 -1,11.66721 -1,3c0,-0.66667 0,-2.66667 0,-2c0,1.81578 -0.56923,7.43077 1,9c6.91619,6.91619 27.3341,-9.33272 34,-4c1.38531,1.10825 7,16 7,16c0,0 0,-2.66667 0,-4c0,-11.86161 5.71067,-22.39599 7,-34c0.14724,-1.32518 0.94281,-3.05719 0,-4c-1.43372,-1.43372 -4.02631,0.5356 -6,1c-3.19389,0.7515 -29,2.64199 -29,6	1	0	15	2.91	1583968817265	1583968818438	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968821867	6	bears_6	M54,216c0,-4.8876 -4.84178,-8.09493 -10,-5c-2.70609,1.62366 -1,12.10627 -1,15c0,2 0.89443,7.78885 0,6c-0.87159,-1.74319 -8,-17.12216 -8,-10c0,1.56033 -0.70143,5.59714 0,7c0.60914,1.21828 10.55266,4.79666 11,5c12.42405,5.64729 26.85785,-1.57356 31,-14c3.01881,-9.05644 -8.25824,-6 -14,-6c-0.90701,0 -8.39264,-1.39264 -6,1	2	0	15	2.91	1583968819154	1583968820097	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968823340	6	bears_6	M166,34c-14.33333,0 -28.66667,0 -43,0	3	0	15	2.91	1583968821374	1583968821576	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968823776	6	bears_6	M201,66c-17.14297,0 -34.00591,2 -51,2	4	0	15	2.91	1583968821831	1583968822008	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968824204	6	bears_6	M244,118c0,2.23165 -4.48318,1 -6,1c-14.53565,0 -33.74328,-2.62836 -47,4	5	0	15	2.91	1583968822265	1583968822440	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968824839	6	bears_6	M248,179c-6.81433,0 -52,3.49991 -52,12	6	0	15	2.91	1583968822875	1583968823074	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968842148	7	deer_4	M122,92c0,-6.59043 1.70262,-31.59475 11,-13c0.86923,1.73845 1.83381,6.55492 3,5c1.41433,-1.88577 11.96962,-26.03038 18,-20c4.28855,4.28855 24.62675,25.11974 30,9c4.33781,-13.01342 -11,-6.313 -11,-12c0,-1.17206 20.70789,-13.86141 16,-17c-11.56614,-7.71076 -26.4013,-1.8684 -37,-16c-0.2,-0.26667 -0.31623,-0.89459 0,-1c21.68437,-7.22812 43.0775,4.9845 63,1c9.72578,-1.94516 19.50673,-1.83558 29,-5c1.24766,-0.41589 9,-7.99312 9,-7c0,21.20321 -56.62658,17.25317 -60,24c-2.89859,5.79718 10.42913,25.57087 8,28c-1.6,1.6 -5.6732,1.0098 -7,3c-5.09574,7.64361 -0.79389,9.58778 -1,10c-1.52731,3.05461 -16.757,11.3785 -20,13c-16.27517,8.13759 -22.7397,-4 -39,-4c-1.86964,0 -3,-0.116 -3,2	1	0	18	3.41	1583968836551	1583968840360	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968843871	7	deer_4	M61,143c0,20.33333 0,40.66667 0,61	2	0	18	3.41	1583968841889	1583968842108	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968844358	7	deer_4	M103,168c2.2374,0 1,25.75559 1,29c0,3.66667 0,7.33333 0,11	3	0	18	3.41	1583968842386	1583968842594	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968844917	7	deer_4	M152,188c3.69151,3.69151 1,44.25379 1,53	4	0	18	3.41	1583968842963	1583968843154	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968858194	8	owls_7	M74,97c0,13.74681 -10.08741,26.17483 -16,38c-7.89022,15.78044 -12.73782,23.73782 -10,21c2.54951,-2.54951 6.51668,3.38598 9,6c13.77342,14.49834 24.29636,34.70385 32,53c0.62514,1.4847 6.82136,17.53591 7,17c6.48942,-19.46825 6.534,-37.301 19,-56c4.05693,-6.08539 10.06118,-15.53059 17,-19c0.29814,-0.14907 1.33333,0 1,0c-26.39233,0 -43.30425,-33.0346 -54,-53c-4.61823,-8.62069 -5.59028,-12.56163 -11,-20c-1.10907,-1.52497 -2.66667,-5.33333 -4,-4c-1.58332,1.58332 0.90478,5.90478 2,7	1	0	21	3.8400000000000003	1583968855376	1583968856423	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968859564	8	owls_7	M149,99c0,1.79906 18.01078,22.07468 20,25c2.96363,4.35829 6.00778,8.66129 9,13c7.13722,10.34897 16.2996,31.35685 27,39c1.7155,1.22536 4.50929,3.49071 6,2c10.41339,-10.41339 22.12707,-60.25415 31,-78c0.3345,-0.669 6.18265,-10.81735 6,-11c-0.31409,-0.31409 -24.77304,8.3003 -34,10c-11.94904,2.20114 -80.02582,9.97418 -89,1	2	0	21	3.8400000000000003	1583968857167	1583968857799	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968869514	9	deer_7	M62,63c31.21763,0 109.99991,77 125,77	1	0	24	4.470000000000001	1583968867221	1583968867750	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968871087	9	deer_7	M59,72c0,38.33333 0,76.66667 0,115c0,3.219 4.29942,41 -5,41c-0.52841,0 1.82475,-4.78094 2,-5c2.69192,-3.3649 4.09963,-3.65978 8,-6c9.40916,-5.64549 17.36284,-13.45428 28,-17c30.22788,-10.07596 44.66542,11 68,11	2	0	24	4.470000000000001	1583968868369	1583968869325	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968885888	10	deer_3	M42,77c0,10.66667 0,21.33333 0,32c0,8 0,16 0,24c0,2.63117 0.89088,36.45442 -3,17c-3.74411,-18.72053 -3.392,-111.71939 35,-94c11.20109,5.16973 48.93175,50.17063 43,65c-2.17766,5.44416 -16.44461,12.60243 -21,15c-10.5223,5.53805 -24.87721,10.51535 -37,9c-1.5822,-0.19777 -4,-0.56104 -4,-2	1	0	27	5.140000000000001	1583968883320	1583968884123	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968886987	10	deer_3	M114,254c-2.90558,11.62231 -10.61436,19.61436 -19,28	2	0	27	5.140000000000001	1583968885085	1583968885227	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968887621	10	deer_3	M198,190c0,-1.70575 -1.42009,-1 -3,-1c-10.17392,0 -29.83089,7.16911 -38,-1	3	0	27	5.140000000000001	1583968885643	1583968885860	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968888112	10	deer_3	M242,175c-11.03569,0 -23.27702,1.68075 -34,-1	4	0	27	5.140000000000001	1583968886183	1583968886344	stroke
testing	2408-3562eab2-6500-4f52-abf6-00c2e3a0bba4	1583968902741	11	deer_8	M45,57c8.66667,0 17.33333,0 26,0	1	0	27	5.140000000000001	1583968900734	1583968900981	stroke
