iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	previous_score	previous_bonus_score	startStrokeTime	endStrokeTime	eventType
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947428391	1	bears_5	M182,65c-3.47619,0 1.52381,0 5,0c4,0 8,0 12,0c8.88373,0 40,-5.13507 40,10	1	0	0	0	1580947427869	1580947428192	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947428985	1	bears_5	M192,62c-3.7413,3.7413 -5.42366,5.27099 -7,10c-0.56765,1.70294 1.1094,-3.44146 2,-5c0.95659,-1.67404 2.27495,-5.82485 3,-8	2	0	0	0	1580947428589	1580947428862	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947429183	1	bears_5	M191,67c0,0.66667 0,1.33333 0,2	3	0	0	0	1580947429069	1580947429169	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947429864	1	bears_5	M187,67c-2.17183,0 1,0.87329 1,2	4	0	0	0	1580947429540	1580947429769	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947430860	1	bears_5	M230,67c-7.27339,0 -12.66407,15 -17,15c-3.07318,0 3.70308,-4.95829 6,-7c5.24996,-4.66663 9.83616,-13.20904 17,-15c1.4462,-0.36155 3.33333,-3.33333 4,-2c2.56389,5.12777 2,21.95363 2,28	5	0	0	0	1580947430148	1580947430836	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947431847	1	bears_5	M191,63c0,2.6924 -0.34691,15 3,15	6	0	0	0	1580947431504	1580947431828	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947432815	1	bears_5	M156,256c0,-3.98855 8.26413,-1.60916 11,-2c23.51846,-3.35978 62.4993,-10.00139 76,17	7	0	0	0	1580947432284	1580947432799	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947433691	1	bears_5	M174,202c27.97786,0 45,-11.90152 45,17	8	0	0	0	1580947433355	1580947433671	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947434518	1	bears_5	M51,242c12.82988,0 65,-7.35461 65,8	9	0	0	0	1580947434181	1580947434504	stroke
testing	7615-3cf9ad2d-859a-4097-9e26-4875222f6a18	1580947435267	1	bears_5	M34,181c-4.66667,0 9.33333,0 14,0c12.59292,0 37,-6.54945 37,12	10	0	0	0	1580947434932	1580947435253	stroke
