,sketch_id,game_id,animal,cardinality,trial_num,condition,block,clfScore_animal,clfScore_cardinality
0,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_1_22_number_bear_1_057,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,1,22.0,number,3.0,deer,2
1,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_2_31_number_bear_2_051,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,2,31.0,number,4.0,bear,3
2,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_3_25_number_bear_3_062,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,3,25.0,number,4.0,deer,5
3,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_4_14_number_bear_4_009,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,4,14.0,number,2.0,bear,5
4,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_5_6_number_bear_5_073,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,5,6.0,number,1.0,bear,7
5,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_6_19_number_bear_6_049,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,6,19.0,number,3.0,bear,5
6,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_7_1_number_bear_7_099,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,7,1.0,number,1.0,rabbit,8
7,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_8_11_number_bear_8_050,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,bear,8,11.0,number,2.0,bear,6
8,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_1_4_number_deer_1_073,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,1,4.0,number,1.0,owl,2
9,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_2_24_number_deer_2_096,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,2,24.0,number,3.0,owl,1
10,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_3_17_number_deer_3_062,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,3,17.0,number,3.0,owl,3
11,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_4_29_number_deer_4_046,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,4,29.0,number,4.0,deer,4
12,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_5_15_number_deer_5_039,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,5,15.0,number,2.0,deer,5
13,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_6_7_number_deer_6_080,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,6,7.0,number,1.0,deer,6
14,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_7_10_number_deer_7_096,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,7,10.0,number,2.0,deer,7
15,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_8_26_number_deer_8_080,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,deer,8,26.0,number,4.0,bear,7
16,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_1_30_number_owl_1_028,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,1,30.0,number,4.0,deer,1
17,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_2_13_number_owl_2_048,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,2,13.0,number,2.0,rabbit,2
18,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_3_12_number_owl_3_020,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,3,12.0,number,2.0,owl,2
19,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_4_5_number_owl_4_087,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,4,5.0,number,1.0,owl,5
20,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_5_20_number_owl_5_090,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,5,20.0,number,3.0,rabbit,5
