,iterationName,gameID,trialNum,trialStartTime,submitTime,clickedTime,confirmTime,totalTrialDuration,PT,RT,cardinality,clicked,correct,score,symbols,symbolsProcess,targetLoc,d1,d2,messageLength,tokenRatio
0,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,1,1639593130063.0,1639593140030.0,1639593148505.0,1639593153259.0,23.196,9.967,13.229,16,16,True,0,[2],1639593139073:2,3,15,14,1,0.0625
2,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,1,1639593161655.0,1639593166285.0,1639593171090.0,1639593172616.0,10.961,4.63,6.331,1,1,True,0,[1],1639593164986:1,3,3,2,1,1.0
4,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,2,1639593155267.0,1639593171957.0,1639593183640.0,1639593185354.0,30.087,16.69,13.397,10,10,True,3,"[3, 4, 2]","1639593164161:3,1639593164942:4,1639593170378:2",2,8,9,3,0.3
6,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,2,1639593174620.0,1639593184650.0,1639593191464.0,1639593192376.0,17.756,10.03,7.726,6,6,True,3,"[4, 2]","1639593179884:4,1639593180975:2",2,5,7,2,0.3333333333333333
8,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,1,1639593174665.0,1639593194693.0,1639593202574.0,1639593204366.0,29.701,20.028,9.673,7,7,True,0,"[3, 3, 1]","1639593186141:3,1639593186790:3,1639593187990:1",3,9,8,3,0.42857142857142855
9,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,3,1639593187356.0,1639593194949.0,1639593204316.0,1639593206043.0,18.687,7.593,11.094,13,15,False,6,"[2, 3]","1639593191201:2,1639593193362:3",2,14,15,2,0.15384615384615385
11,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,3,1639593194378.0,1639593203727.0,1639593215714.0,1639593217138.0,22.76,9.349,13.411,5,5,True,6,"[2, 3]","1639593199597:2,1639593199925:3",2,6,4,2,0.4
14,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,1,1639593192740.0,1639593214427.0,1639593247411.0,1639593249670.0,56.93,21.687,35.243,12,13,False,0,"[4, 2, 1, 1, 1, 2, 2]","1639593078658:4,1639593081350:2,1639593084971:1,1639593085862:1,1639593087285:1,1639593088129:2,1639593088879:2",3,11,13,7,0.5833333333333334
15,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,4,1639593208051.0,1639593218099.0,1639593226445.0,1639593228668.0,20.617,10.048,10.569,6,4,False,6,"[2, 2]","1639593216628:2,1639593216865:2",1,5,4,2,0.3333333333333333
16,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,1,1639593214908.0,1639593225976.0,1639593234275.0,1639593235750.0,20.842,11.068,9.774,10,10,True,0,"[4, 4, 2]","1639593225025:4,1639593225886:4,1639593226342:2",1,11,9,3,0.3
18,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,2,1639593237755.0,1639593241824.0,1639593243781.0,1639593244902.0,7.147,4.069,3.078,1,1,True,3,[1],1639593242194:1,2,2,3,1,1.0
19,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,5,1639593230674.0,1639593242368.0,1639593251504.0,1639593253341.0,22.667,11.694,10.973,7,8,False,6,"[3, 1, 1, 2]","1639593238618:3,1639593239365:1,1639593240272:1,1639593240987:2",3,6,8,4,0.5714285714285714
22,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,2,1639593206370.0,1639593249409.0,1639593257625.0,1639593259349.0,52.979,43.039,9.94,12,12,True,3,"[1, 3, 2, 4, 2]","1639593232756:1,1639593240213:3,1639593241387:2,1639593242892:4,1639593244509:2",3,13,11,5,0.4166666666666667
24,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,3,1639593246904.0,1639593252251.0,1639593256837.0,1639593257718.0,10.814,5.347,5.467,6,6,True,6,"[3, 3]","1639593252890:3,1639593253155:3",1,8,7,2,0.3333333333333333
27,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,2,1639593251676.0,1639593261713.0,1639593268698.0,1639593270553.0,18.877,10.037,8.84,4,4,True,0,"[2, 1, 1]","1639593133556:2,1639593135350:1,1639593135808:1",2,3,2,3,0.75
28,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,4,1639593259721.0,1639593265080.0,1639593267583.0,1639593269048.0,9.327,5.359,3.968,4,4,True,9,"[2, 2]","1639593265845:2,1639593266018:2",2,3,2,2,0.5
30,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,6,1639593255344.0,1639593274414.0,1639593283147.0,1639593284495.0,29.151,19.07,10.081,15,14,False,6,"[2, 4, 2, 2, 2, 1, 3]","1639593265641:2,1639593267751:4,1639593268836:2,1639593269662:2,1639593270608:2,1639593271435:1,1639593273001:3",1,16,14,7,0.4666666666666667
31,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,4,1639593219141.0,1639593274773.0,1639593301842.0,1639593302922.0,83.781,55.632,28.149,15,15,True,9,"[4, 1, 4, 1, 4, 1]","1639593223750:4,1639593226681:4,1639593237011:1,1639593241186:4,1639593241676:1,1639593243251:1,1639593244329:4,1639593250403:del,1639593251808:del,1639593251941:del,1639593252061:del,1639593252186:del,1639593252323:del,1639593252464:del,1639593253055:4,1639593253584:1,1639593254937:4,1639593255557:1,1639593256101:4,1639593256747:1,1639593264506:1,1639593273633:del",2,16,14,6,0.4
