,iterationName,gameID,trialNum,trialStartTime,submitTime,clickedTime,confirmTime,totalTrialDuration,PT,RT,cardinality,clicked,correct,score,symbols,symbolsProcess,targetLoc,d1,d2,messageLength,tokenRatio
0,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,1,1639593130063.0,1639593140030.0,1639593148505.0,1639593153259.0,23.196,9.967,13.229,16,16,True,0,[2],1639593139073:2,3,15,14,1,0.0625
1,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,1,1639593105318.0,1639593158290.0,1639593163708.0,1639593165628.0,60.31,52.972,7.338,15,15,True,0,[3],"1639593131305:3,1639593134203:del,1639593144929:3,1639593151264:1,1639593156527:del",2,14,16,1,0.06666666666666667
2,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,1,1639593161655.0,1639593166285.0,1639593171090.0,1639593172616.0,10.961,4.63,6.331,1,1,True,0,[1],1639593164986:1,3,3,2,1,1.0
3,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,1,1639593156491.0,1639593168366.0,1639593172997.0,1639593175657.0,19.166,11.875,7.291,2,2,True,0,[2],1639593164419:2,1,3,4,1,0.5
4,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,2,1639593155267.0,1639593171957.0,1639593183640.0,1639593185354.0,30.087,16.69,13.397,10,10,True,3,"[3, 4, 2]","1639593164161:3,1639593164942:4,1639593170378:2",2,8,9,3,0.3
5,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,2,1639593167651.0,1639593173418.0,1639593176999.0,1639593178339.0,10.688,5.767,4.921,2,3,False,3,[2],1639593171465:2,3,3,1,1,0.5
6,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,2,1639593174620.0,1639593184650.0,1639593191464.0,1639593192376.0,17.756,10.03,7.726,6,6,True,3,"[4, 2]","1639593179884:4,1639593180975:2",2,5,7,2,0.3333333333333333
7,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,2,1639593177665.0,1639593189600.0,1639593193097.0,1639593195197.0,17.532,11.935,5.597,1,1,True,3,[1],1639593186588:1,1,3,2,1,1.0
8,run1,9405-503c0c48-b1d9-49d8-9da2-86a208ab837c,1,1639593174665.0,1639593194693.0,1639593202574.0,1639593204366.0,29.701,20.028,9.673,7,7,True,0,"[3, 3, 1]","1639593186141:3,1639593186790:3,1639593187990:1",3,9,8,3,0.42857142857142855
9,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,3,1639593187356.0,1639593194949.0,1639593204316.0,1639593206043.0,18.687,7.593,11.094,13,15,False,6,"[2, 3]","1639593191201:2,1639593193362:3",2,14,15,2,0.15384615384615385
10,run1,0109-d3e47dfb-f202-4c77-8950-a58d3d313e5e,1,1639593182008.0,1639593197640.0,1639593216421.0,1639593226541.0,44.533,15.632,28.901,12,12,True,0,[3],1639593202735:3,3,10,11,1,0.08333333333333333
11,run1,0100-0250f292-3528-41a0-9ef3-f871d00ec234,3,1639593194378.0,1639593203727.0,1639593215714.0,1639593217138.0,22.76,9.349,13.411,5,5,True,6,"[2, 3]","1639593199597:2,1639593199925:3",2,6,4,2,0.4
12,run1,0577-d0f9764e-a392-49e8-ad05-34cfb0c92275,3,1639593180350.0,1639593203766.0,1639593206599.0,1639593224309.0,43.959,23.416,20.543,8,7,False,3,[2],1639593198138:2,2,9,7,1,0.125
13,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,3,1639593197206.0,1639593206686.0,1639593212077.0,1639593213777.0,16.571,9.48,7.091,9,9,True,6,[4],1639593205371:4,2,8,10,1,0.1111111111111111
14,run1,5157-3d1a9fad-c10e-4a00-8c24-a22868d60b2d,1,1639593192740.0,1639593214427.0,1639593247411.0,1639593249670.0,56.93,21.687,35.243,12,13,False,0,"[4, 2, 1, 1, 1, 2, 2]","1639593078658:4,1639593081350:2,1639593084971:1,1639593085862:1,1639593087285:1,1639593088129:2,1639593088879:2",3,11,13,7,0.5833333333333334
15,run1,6505-1441f682-c593-4bdf-ba56-86382ce58058,4,1639593208051.0,1639593218099.0,1639593226445.0,1639593228668.0,20.617,10.048,10.569,6,4,False,6,"[2, 2]","1639593216628:2,1639593216865:2",1,5,4,2,0.3333333333333333
16,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,1,1639593214908.0,1639593225976.0,1639593234275.0,1639593235750.0,20.842,11.068,9.774,10,10,True,0,"[4, 4, 2]","1639593225025:4,1639593225886:4,1639593226342:2",1,11,9,3,0.3
17,run1,3639-b70f8243-5ebf-4ded-a53e-f4027dad69c2,4,1639593215779.0,1639593227670.0,1639593233537.0,1639593235297.0,19.518,11.891,7.627,7,9,False,9,"[4, 4, 4]","1639593225977:4,1639593226345:4,1639593226689:4",3,9,8,3,0.42857142857142855
18,run1,9838-da3885e8-773a-4253-8229-bd28dd512256,2,1639593237755.0,1639593241824.0,1639593243781.0,1639593244902.0,7.147,4.069,3.078,1,1,True,3,[1],1639593242194:1,2,2,3,1,1.0
