feature_ind,sketch_id
0,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_1_22_number_bear_1_057
1,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_2_31_number_bear_2_051
2,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_3_25_number_bear_3_062
3,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_4_14_number_bear_4_009
4,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_5_6_number_bear_5_073
5,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_6_19_number_bear_6_049
6,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_7_1_number_bear_7_099
7,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_bear_8_11_number_bear_8_050
8,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_1_4_number_deer_1_073
9,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_2_24_number_deer_2_096
10,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_3_17_number_deer_3_062
11,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_4_29_number_deer_4_046
12,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_5_15_number_deer_5_039
13,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_6_7_number_deer_6_080
14,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_7_10_number_deer_7_096
15,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_deer_8_26_number_deer_8_080
16,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_1_30_number_owl_1_028
17,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_2_13_number_owl_2_048
18,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_3_12_number_owl_3_020
19,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_4_5_number_owl_4_087
20,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_5_20_number_owl_5_090
21,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_6_27_number_owl_6_053
22,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_7_23_number_owl_7_010
23,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_8_3_number_owl_8_095
24,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_1_9_number_rabbit_1_066
25,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_2_2_number_rabbit_2_068
26,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_3_8_number_rabbit_3_042
27,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_4_21_number_rabbit_4_045
28,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_5_32_number_rabbit_5_047
29,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_6_16_number_rabbit_6_062
30,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_7_28_number_rabbit_7_061
31,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_8_18_number_rabbit_8_007
32,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_1_27_number_bear_1_053
33,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_2_20_number_bear_2_068
34,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_3_13_number_bear_3_064
35,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_4_7_number_bear_4_059
36,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_5_24_number_bear_5_017
37,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_6_9_number_bear_6_044
38,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_7_32_number_bear_7_021
39,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_8_4_number_bear_8_014
40,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_1_3_number_deer_1_006
41,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_2_11_number_deer_2_047
42,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_3_26_number_deer_3_094
